trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.4, 'e': 0.028902808081942316}",20,0,34.19738959154995,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.4, 'e': 0.02877544264405088}",20,0,31.860380208791163,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.4, 'e': 0.028649431737404106}",30,11,22.899547252931136,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.4, 'e': 0.028524752624995178}",30,9,31.559210371497556,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.4, 'e': 0.028401383089602921}",30,2,43.28500538722371,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.4, 'e': 0.028279301418790242}",20,6,10.435479774351835,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.4, 'e': 0.028158486390424415}",20,2,25.84181875862402,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.4, 'e': 0.028038917258698094}",30,11,36.097671402080614,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.4, 'e': 0.027920573740630665}",25,0,32.82990942929594,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.4, 'e': 0.027803436003030854}",20,10,17.182212843684923,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.4, 'e': 0.027687484649902016}",30,13,29.645145744653522,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.4, 'e': 0.027572700710272586}",20,14,7.970063813905304,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.4, 'e': 0.027459065626434954}",20,8,20.175050822889403,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.4, 'e': 0.027346561242576742}",25,1,34.8282151534383,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.4, 'e': 0.027235169793789118}",20,16,8.51448066539487,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': 0.027124873895437614}",25,16,-6.949080489617899,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.4, 'e': 0.027015656532881436}",25,6,25.329281847317127,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.4, 'e': 0.026907501051527932}",20,13,13.666794451121396,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.4, 'e': 0.026800391147209394}",25,8,26.40513176452539,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.4, 'e': 0.026694310856870084}",20,0,31.052114321977246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.4, 'e': 0.026589244549551687}",20,15,11.481300004477433,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.4, 'e': 0.026485176917666085}",25,0,23.518041304792582,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
180,False,"{'a': 0.4, 'e': 0.02638209296854474}",20,15,7.5743385501311575,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.4, 'e': 0.026279978016254382}",30,8,36.51482921661966,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.4, 'e': 0.026178817673669266}",25,4,30.171226061222548,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.4, 'e': 0.026078597844790545}",20,13,14.327434776554046,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.4, 'e': 0.025979304717303798}",20,0,26.96013794277726,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
185,False,"{'a': 0.4, 'e': 0.025880924755365995}",20,0,25.002053575501726,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
